SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-31-2020,Single Family Residential,6712 Branch Creek Dr,Fort Worth,TX,76132,359900,6,3.5,Hulen Bend Estates Add,3691,10062,1999,140,98,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6712-Branch-Creek-Dr-76132/home/32458206,NTREIS,14249845,N,Y,32.6537884,-97.4144105
PAST SALE,February-7-2020,Single Family Residential,6609 Hillside Dr,Benbrook,TX,76132,325000,3,2.0,Country Day Estates,2084,12110,1980,133,156,,Sold,,,http://www.redfin.com/TX/Benbrook/6609-Hillside-Dr-76132/home/31501777,NTREIS,14246042,N,Y,32.6894798,-97.4239188
PAST SALE,July-26-2019,Single Family Residential,21 Bounty Rd W,Benbrook,TX,76132,379900,4,3.0,Mont Del Estates Add,2612,16858,1970,329,145,3,Sold,,,http://www.redfin.com/TX/Benbrook/21-Bounty-Rd-W-76132/home/31795448,NTREIS,14106720,N,Y,32.6864965,-97.4166235
PAST SALE,September-19-2017,Single Family Residential,6733 Day Dr,Fort Worth,TX,76132,200000,4,2.5,Oakmont Meadows Add,2265,5489,1998,1004,88,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6733-Day-Dr-76132/home/32446078,NTREIS,13668230,N,Y,32.6582886,-97.4115848
PAST SALE,November-9-2017,Single Family Residential,6705 Savannah Ln,Fort Worth,TX,76132,435000,4,2.5,Bellaire Park North,2950,11500,1993,953,147,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6705-Savannah-Ln-76132/home/32372663,NTREIS,13699351,N,Y,32.6730498,-97.4271717
PAST SALE,July-11-2017,Condo/Co-op,6144 Haley Ln,Fort Worth,TX,76132,239500,3,2.0,Villas On The Bluff Condo,1728,1568,1997,1074,139,335,Sold,,,http://www.redfin.com/TX/Fort-Worth/6144-Haley-Ln-76132/home/32447299,NTREIS,13595116,N,Y,32.672933,-97.421181
PAST SALE,October-24-2017,Single Family Residential,6001 Troon Rd,Fort Worth,TX,76132,685000,3,3.5,Mira Vista Add,4014,13199,1990,969,171,179,Sold,,,http://www.redfin.com/TX/Fort-Worth/6001-Troon-Rd-76132/home/32395409,NTREIS,13679706,N,Y,32.6625531,-97.4317344
PAST SALE,April-27-2018,Single Family Residential,6729 E Park Dr,Fort Worth,TX,76132,499000,5,4.0,Bellaire Park North,3974,12284,1994,784,126,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6729-E-Park-Dr-76132/home/32415657,NTREIS,13788525,N,Y,32.6713359,-97.4286926
PAST SALE,March-30-2018,Single Family Residential,6813 Savannah Ln,Fort Worth,TX,76132,524900,5,3.5,Bellaire Park North,4721,11369,1992,812,111,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6813-Savannah-Ln-76132/home/32372706,NTREIS,13770066,N,Y,32.6735324,-97.4312486
PAST SALE,August-11-2017,Condo/Co-op,6151 Welden Ct,Fort Worth,TX,76132,239500,3,2.0,Villas On The Bluff Condo,1713,7013,1998,1043,140,335,Sold,,,http://www.redfin.com/TX/Fort-Worth/6151-Welden-Ct-76132/home/32458275,NTREIS,13641907,N,Y,32.671791,-97.421335
PAST SALE,April-2-2018,Townhouse,6629 Lost Star Ln,Fort Worth,TX,76132,350000,2,3.0,Bellaire Village,2510,2788,2016,809,139,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6629-Lost-Star-Ln-76132/home/31226473,NTREIS,13742953,N,Y,32.668316,-97.4268869
PAST SALE,June-26-2018,Vacant Land,7401 Pebble Ridge Dr,Fort Worth,TX,76132,100000,0,,Pebble Creek Ridge Add,,,,724,,117,Sold,,,http://www.redfin.com/TX/Fort-Worth/7401-Pebble-Ridge-Dr-76132/home/32477689,NTREIS,13861643,N,Y,32.6659999,-97.428022
PAST SALE,June-22-2017,Townhouse,6728 Lost Star Ln,Fort Worth,TX,76132,319982,2,3.0,Bellaire Village,2220,,2016,1093,144,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6728-Lost-Star-Ln-76132/home/31226445,NTREIS,13379878,N,Y,32.6686566,-97.4276153
PAST SALE,April-23-2018,Single Family Residential,4817 South Dr W,Fort Worth,TX,76132,345000,4,3.0,Overton South Add,2875,13329,1979,788,120,,Sold,,,http://www.redfin.com/TX/Fort-Worth/4817-South-Dr-W-76132/home/31877037,NTREIS,13741695,N,Y,32.6700254,-97.3970355
PAST SALE,July-6-2017,Single Family Residential,6920 Day Dr,Fort Worth,TX,76132,189000,3,2.0,Oakmont Meadows Add,1841,6534,2000,1079,103,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6920-Day-Dr-76132/home/32473410,NTREIS,13614908,N,Y,32.6587391,-97.4137911
PAST SALE,January-17-2018,Single Family Residential,6312 Stockton Dr,Fort Worth,TX,76132,165900,3,2.0,Hulen Bend Add,1452,6011,2001,884,114,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6312-Stockton-Dr-76132/home/32479842,NTREIS,13746092,N,Y,32.6590766,-97.4163152
PAST SALE,September-15-2017,Single Family Residential,6733 Audubon Trl,Fort Worth,TX,76132,315990,5,3.5,Hulen Bend Estates Add,3320,9540,2000,1008,95,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6733-Audubon-Trl-76132/home/32458212,NTREIS,13619763,N,Y,32.6532216,-97.4143722
PAST SALE,April-20-2018,Single Family Residential,6417 Fianna Hills Dr,Fort Worth,TX,76132,455000,4,4.0,Monarch Hills Add,3343,8407,2001,791,136,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6417-Fianna-Hills-Dr-76132/home/32457938,NTREIS,13802275,N,Y,32.6589835,-97.4282701
PAST SALE,January-31-2018,Single Family Residential,6913 Day Dr,Fort Worth,TX,76132,214000,3,2.0,Oakmont Meadows Add,2067,5489,1998,870,104,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6913-Day-Dr-76132/home/32445895,NTREIS,13751901,N,Y,32.6582813,-97.4134478
PAST SALE,June-28-2018,Single Family Residential,10 Bounty Rd E,Benbrook,TX,76132,555000,4,4.0,Mont Del Estates Add,3923,17119,1967,722,141,3,Sold,,,http://www.redfin.com/TX/Benbrook/10-Bounty-Rd-E-76132/home/31795419,NTREIS,13823259,N,Y,32.6878461,-97.4159351
PAST SALE,May-4-2018,Single Family Residential,14 Legend Rd,Benbrook,TX,76132,409000,3,2.5,Mont Del Estates Add,2866,14157,1970,777,143,3,Sold,,,http://www.redfin.com/TX/Benbrook/14-Legend-Rd-76132/home/31795492,NTREIS,13802305,N,Y,32.6900428,-97.4179309
PAST SALE,December-21-2017,Single Family Residential,6928 Tameron Trl,Fort Worth,TX,76132,309900,3,2.0,Quail Ridge Estates Add,1955,9583,1992,911,159,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6928-Tameron-Trl-76132/home/32400664,NTREIS,13706513,N,Y,32.650332,-97.4261155
